,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,0.5818,0.6397,0.5672,0.6396,0.6495,0.6667,0.6502,0.6456,0.6462,0.6312,0.5818,0.6483,0.6394,0.6431,0.6011,0.6443,0.5891
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,0.2851,0.2589,0.1895,0.2742,0.3082,0.3208,0.3314,0.2975,0.3296,0.2903,0.2365,0.2759,0.2438,0.2429,0.5048,0.268,0.2886
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,0.4431,0.4363,0.2837,0.4478,0.4633,0.4659,0.4754,0.463,0.4635,0.4667,0.42,0.4516,0.4353,0.4347,0.486,0.4529,0.4712
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,0.4257,0.4873,0.302,0.5568,0.5795,0.5597,0.5083,0.5451,0.5549,0.4111,0.3728,0.5473,0.4262,0.4211,0.6177,0.458,0.3772
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,0.645,0.707,0.4892,0.749,0.7863,0.7914,0.7099,0.7849,0.7769,0.6212,0.5874,0.7596,0.6822,0.6384,0.6709,0.6389,0.54
fiu_casa-110108-112108.oracleGeneral.zst_8973201,0.1625,0.1719,0.1022,0.1669,0.1835,0.1908,0.1778,0.1765,0.175,0.1564,0.144,0.1823,0.162,0.1617,0.1629,0.1643,0.1546
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,0.6094,0.7193,0.5632,0.7241,0.7434,0.7543,0.7242,0.7399,0.7406,0.6521,0.6251,0.7435,0.7188,0.7236,0.6426,0.7275,0.6141
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,0.0856,0.0868,0.0611,0.0871,0.0949,0.1225,0.1207,0.0883,0.0944,0.0885,0.0894,0.0944,0.0851,0.0843,0.0864,0.0896,0.0986
fiu_madmax-110108-112108.oracleGeneral.zst_918010,0.7225,0.8269,0.6796,0.8297,0.8353,0.8391,0.8297,0.834,0.8325,0.8353,0.7125,0.8356,0.8268,0.8317,0.7388,0.834,0.731
fiu_homes-110108-112108.oracleGeneral.zst_17836701,0.2754,0.2707,0.174,0.265,0.2928,0.3093,0.3014,0.2981,0.3068,0.2794,0.2614,0.2782,0.274,0.2734,0.3129,0.2692,0.3042
