,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst_29266482,0.6486,0.6615,0.5529,0.6981,0.6562,0.6855,0.6853,0.6552,0.6574,0.6856,0.6593,0.6674,0.674,0.6759,0.6798,0.6833,0.6967
msr_proj_1.oracleGeneral.zst_23639742,0.6655,0.6639,0.6536,0.6727,0.6641,0.6871,0.6707,0.6639,0.6641,0.6692,0.6802,0.6667,0.6639,0.6671,0.6664,0.6813,0.6846
msr_prxy_0.oracleGeneral.zst_12518968,0.0164,0.0167,0.0124,0.0169,0.0172,0.0213,0.019,0.0165,0.0173,0.0154,0.0176,0.0166,0.0166,0.0162,0.0168,0.0171,0.0159
msr_prxy_1.oracleGeneral.zst_168638964,0.0024,0.0024,0.0023,0.0024,0.0024,0.0028,0.0026,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0026,0.0024
msr_prn_0.oracleGeneral.zst_5585886,0.1373,0.1338,0.1274,0.1363,0.1411,0.1556,0.1533,0.1365,0.1527,0.1375,0.1361,0.1343,0.135,0.1362,0.1349,0.1459,0.15
msr_usr_1.oracleGeneral.zst_45283980,0.33,0.3262,0.3084,0.3309,0.3271,0.3475,0.336,0.3269,0.3324,0.3342,0.3287,0.3302,0.3261,0.33,0.3288,0.3374,0.3308
msr_prn_1.oracleGeneral.zst_11233411,0.2035,0.205,0.1935,0.2072,0.2405,0.2488,0.2526,0.2106,0.2304,0.2193,0.1986,0.2136,0.2049,0.2091,0.2052,0.2433,0.1987
msr_proj_0.oracleGeneral.zst_4224524,0.0891,0.0909,0.0678,0.0902,0.0942,0.1044,0.1059,0.0915,0.0972,0.0943,0.0923,0.0909,0.0914,0.0843,0.0882,0.1017,0.0998
msr_src1_1.oracleGeneral.zst_45746222,0.6484,0.6,0.4386,0.5457,0.763,0.7648,0.6335,0.7364,0.7341,0.5253,0.4993,0.6229,0.5929,0.7104,0.5499,0.76,0.5316
msr_hm_0.oracleGeneral.zst_3993316,0.1721,0.1749,0.1185,0.176,0.1798,0.1934,0.1864,0.1746,0.1821,0.1797,0.1768,0.1788,0.1751,0.1755,0.1722,0.185,0.1733
msr_src1_0.oracleGeneral.zst_37415613,0.3917,0.4058,0.1962,0.4914,0.6464,0.5916,0.4358,0.4778,0.5613,0.3868,0.2386,0.444,0.3916,0.3487,0.3628,0.4096,0.2275
msr_web_2.oracleGeneral.zst_5175368,0.7014,0.8955,0.4754,0.7089,0.9273,0.9217,0.7071,0.9272,0.858,0.6674,0.6335,0.9227,0.6809,0.6487,0.6051,0.7207,0.5504
msr_proj_4.oracleGeneral.zst_6465639,0.4699,0.472,0.4644,0.4727,0.4868,0.582,0.536,0.4753,0.4988,0.4942,0.4648,0.4844,0.472,0.5057,0.4742,0.5346,0.4652
msr_usr_2.oracleGeneral.zst_10570046,0.7092,0.7067,0.6977,0.7132,0.7058,0.7342,0.721,0.7057,0.7122,0.7298,0.7171,0.714,0.7063,0.7193,0.711,0.724,0.72
