,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst_29266482,0.7331,0.7734,0.5558,0.7684,0.8115,0.8242,0.7742,0.8047,0.7983,0.7956,0.7578,0.8176,0.7631,0.7839,0.7632,0.8038,0.8093
msr_proj_1.oracleGeneral.zst_23639742,0.6821,0.6761,0.6536,0.6777,0.6891,0.7172,0.7025,0.6796,0.6899,0.6911,0.7087,0.6936,0.6758,0.682,0.6813,0.7049,0.7216
msr_prxy_0.oracleGeneral.zst_12518968,0.0252,0.027,0.0156,0.0263,0.0283,0.0336,0.0345,0.0243,0.0293,0.0245,0.0279,0.0263,0.0261,0.026,0.03,0.0243,0.0232
msr_prxy_1.oracleGeneral.zst_168638964,0.0025,0.0025,0.0023,0.0025,0.0025,0.0036,0.003,0.0025,0.0025,0.0025,0.0026,0.0025,0.0025,0.0025,0.0025,0.0027,0.0025
msr_prn_0.oracleGeneral.zst_5585886,0.1747,0.1627,0.1274,0.1772,0.1815,0.2036,0.1916,0.1864,0.19,0.1788,0.1648,0.1769,0.1735,0.1762,0.1799,0.1676,0.1789
msr_usr_1.oracleGeneral.zst_45283980,0.3506,0.3394,0.3084,0.3495,0.3611,0.3724,0.3715,0.3457,0.3627,0.3702,0.3443,0.3528,0.3393,0.3439,0.3922,0.3662,0.3563
msr_prn_1.oracleGeneral.zst_11233411,0.2514,0.2434,0.2048,0.2907,0.3091,0.3494,0.3359,0.2815,0.3062,0.2871,0.2415,0.288,0.2459,0.2395,0.268,0.2818,0.2463
msr_proj_0.oracleGeneral.zst_4224524,0.1421,0.1485,0.0924,0.148,0.153,0.1787,0.1675,0.1422,0.1568,0.1537,0.1429,0.1473,0.142,0.1421,0.141,0.1509,0.1572
msr_src1_1.oracleGeneral.zst_45746222,0.6628,0.6637,0.6004,0.783,0.7782,0.7773,0.7896,0.7716,0.7784,0.7189,0.7071,0.7753,0.6678,0.7275,0.7547,0.7533,0.7205
msr_hm_0.oracleGeneral.zst_3993316,0.2337,0.2394,0.1525,0.2454,0.2526,0.2693,0.257,0.2448,0.2544,0.2482,0.236,0.2519,0.2366,0.2356,0.2419,0.2429,0.2328
msr_src1_0.oracleGeneral.zst_37415613,0.7689,0.7575,0.5514,0.8523,0.8747,0.8526,0.7671,0.8569,0.8409,0.6939,0.7596,0.8787,0.7855,0.7663,0.6569,0.7132,0.5837
msr_web_2.oracleGeneral.zst_5175368,0.7696,0.9781,0.7307,0.9717,0.9923,0.9924,0.9116,0.9921,0.9821,0.8677,0.744,0.9924,0.9918,0.992,0.8012,0.9876,0.7789
msr_proj_4.oracleGeneral.zst_6465639,0.4892,0.5153,0.4644,0.5333,0.6371,0.6767,0.6525,0.5884,0.644,0.6245,0.4934,0.642,0.5107,0.5235,0.5515,0.6043,0.5011
msr_usr_2.oracleGeneral.zst_10570046,0.7201,0.7175,0.6977,0.7156,0.7421,0.7462,0.7415,0.7351,0.737,0.7424,0.7191,0.7431,0.7137,0.7286,0.7258,0.7381,0.7303
