,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
tencentBlock.ns1228.oracleGeneral.zst_3462771,0.0381,0.0366,0.0241,0.0359,0.039,0.043,0.0503,0.0525,0.0443,0.0407,0.0513,0.0667,0.0382,0.0346,0.0423,0.0404,0.0365,0.038,0.0382,0.0402,0.0316
tencentBlock.ns10197.oracleGeneral.zst_2420450,0.1132,0.1102,0.0606,0.1093,0.1111,0.1354,0.1265,0.1284,0.1515,0.1154,0.1434,0.1352,0.1145,0.0988,0.1182,0.1122,0.1153,0.1156,0.1217,0.1163,0.0962
tencentBlock.ns6930.oracleGeneral.zst_2231846,0.1307,0.1159,0.0661,0.1204,0.1214,0.1255,0.1414,0.1468,0.1524,0.1348,0.1573,0.1548,0.1335,0.1165,0.1183,0.1263,0.1239,0.1237,0.1385,0.1182,0.1062
tencentBlock.ns4699.oracleGeneral.zst_1214346,0.0725,0.0623,0.0488,0.0628,0.0639,0.0745,0.0875,0.0977,0.0796,0.0835,0.0918,0.2351,0.0736,0.0593,0.0711,0.0659,0.0623,0.064,0.0909,0.0725,0.0564
tencentBlock.ns22008.oracleGeneral.zst_1365602,0.3225,0.3246,0.1529,0.3433,0.3208,0.3386,0.2762,0.3371,0.3325,0.291,0.3339,0.3739,0.2978,0.3188,0.2831,0.2836,0.3152,0.2989,0.3155,0.2639,0.2223
tencentBlock.ns18283.oracleGeneral.zst_3972912,0.1275,0.124,0.1108,0.1273,0.1237,0.1291,0.145,0.1428,0.1275,0.1349,0.1426,0.4039,0.1267,0.1372,0.1256,0.124,0.126,0.1276,0.1291,0.1337,0.1375
tencentBlock.ns7775.oracleGeneral.zst_4572411,0.0844,0.0853,0.0693,0.0861,0.0878,0.0855,0.1003,0.0948,0.0843,0.0997,0.0872,0.145,0.0861,0.0896,0.085,0.0843,0.0848,0.0856,0.084,0.0925,0.0924
tencentBlock.ns17085.oracleGeneral.zst_1558553,0.1106,0.106,0.0934,0.1074,0.1148,0.1142,0.1364,0.1268,0.1119,0.1248,0.1257,0.3296,0.1107,0.1093,0.1101,0.1083,0.1085,0.1103,0.1136,0.1229,0.1078
tencentBlock.ns11873.oracleGeneral.zst_1767385,0.182,0.206,0.0951,0.2036,0.2293,0.225,0.2344,0.1876,0.2224,0.1824,0.2104,0.2179,0.1976,0.1626,0.2253,0.2248,0.1906,0.1884,0.1748,0.1783,0.1506
tencentBlock.ns6171.oracleGeneral.zst_4790952,0.0252,0.0255,0.0207,0.026,0.0277,0.0295,0.0353,0.0351,0.0257,0.0331,0.033,0.0647,0.0278,0.0256,0.0302,0.0256,0.0248,0.0248,0.0253,0.0305,0.0255
tencentBlock.ns1084.oracleGeneral.zst_69192245,0.0376,0.0371,0.0195,0.037,0.0341,0.0375,0.0896,0.0581,0.0333,0.0633,0.0509,0.1737,0.0384,0.0354,0.0377,0.0332,0.0334,0.0337,0.035,0.051,0.0323
tencentBlock.ns14248.oracleGeneral.zst_11417024,0.0931,0.092,0.0876,0.095,0.0942,0.0946,0.1076,0.102,0.0933,0.0972,0.1023,0.2446,0.0925,0.0979,0.0928,0.092,0.0932,0.0939,0.0935,0.1017,0.1005
tencentBlock.ns13858.oracleGeneral.zst_4047473,0.1555,0.1673,0.095,0.175,0.1756,0.1771,0.1796,0.2355,0.2125,0.1491,0.2377,0.4664,0.1288,0.1487,0.1655,0.1532,0.1543,0.1537,0.2058,0.1423,0.1121
tencentBlock.ns10372.oracleGeneral.zst_5392979,0.1352,0.1354,0.1279,0.1391,0.1369,0.1369,0.1549,0.1586,0.137,0.1377,0.1482,0.3471,0.1344,0.1451,0.1342,0.1348,0.1368,0.1393,0.1363,0.1466,0.1505
tencentBlock.ns16715.oracleGeneral.zst_1044790,0.2873,0.2675,0.2405,0.2736,0.2788,0.2661,0.2882,0.2884,0.2667,0.2847,0.2745,0.3571,0.2672,0.2922,0.2621,0.2611,0.2764,0.2769,0.2951,0.29,0.3184
tencentBlock.ns6558.oracleGeneral.zst_3152049,0.1356,0.1237,0.1029,0.126,0.1308,0.1321,0.1476,0.1633,0.1433,0.1273,0.1662,0.4404,0.1211,0.1321,0.1245,0.1228,0.1294,0.1319,0.1526,0.1332,0.1228
tencentBlock.ns7633.oracleGeneral.zst_1564502,0.2066,0.2144,0.1046,0.2141,0.2275,0.233,0.2121,0.2077,0.225,0.175,0.2276,0.2143,0.206,0.2021,0.2336,0.2258,0.2055,0.2083,0.1862,0.186,0.159
tencentBlock.ns9578.oracleGeneral.zst_1144587,0.0723,0.0678,0.0432,0.0678,0.0704,0.0776,0.0833,0.0843,0.0757,0.0727,0.0799,0.0754,0.0765,0.0631,0.0799,0.0731,0.0713,0.0707,0.0813,0.0709,0.0628
tencentBlock.ns6591.oracleGeneral.zst_12956376,0.0848,0.0836,0.0727,0.0853,0.0841,0.0861,0.0964,0.091,0.0847,0.0886,0.0898,0.1407,0.0845,0.0878,0.0849,0.0842,0.0843,0.086,0.0849,0.0907,0.0901
tencentBlock.ns12485.oracleGeneral.zst_3982085,0.0785,0.0783,0.0749,0.0819,0.0793,0.0798,0.0867,0.0837,0.0779,0.0807,0.0852,0.2966,0.0789,0.0867,0.0784,0.0775,0.0794,0.0786,0.0779,0.0833,0.09
tencentBlock.ns8608.oracleGeneral.zst_40554758,0.0118,0.0119,0.0083,0.0121,0.0122,0.013,0.017,0.0165,0.0126,0.0144,0.0157,0.0601,0.0117,0.0112,0.0126,0.0118,0.0114,0.0114,0.012,0.0131,0.0106
tencentBlock.ns4124.oracleGeneral.zst_11110057,0.0908,0.0889,0.0872,0.0889,0.0912,0.0895,0.0973,0.0922,0.0899,0.0907,0.0899,0.0979,0.0898,0.0894,0.0912,0.0897,0.0888,0.0892,0.0896,0.0943,0.0913
tencentBlock.ns17740.oracleGeneral.zst_1835075,0.1997,0.1951,0.1769,0.1953,0.2084,0.2097,0.2431,0.2442,0.2075,0.2118,0.2432,0.3708,0.1963,0.195,0.2021,0.1978,0.1985,0.2053,0.2154,0.2193,0.184
tencentBlock.ns2954.oracleGeneral.zst_8112703,0.0473,0.0461,0.041,0.0474,0.0496,0.0494,0.063,0.0604,0.05,0.0536,0.0581,0.0897,0.0481,0.047,0.0484,0.0468,0.0477,0.0478,0.0479,0.0538,0.0474
tencentBlock.ns18695.oracleGeneral.zst_1155712,0.3162,0.3317,0.1827,0.3688,0.3094,0.4022,0.3614,0.4067,0.3929,0.3205,0.3988,0.4522,0.3428,0.2943,0.299,0.2989,0.3119,0.3141,0.3653,0.2878,0.2305
tencentBlock.ns5975.oracleGeneral.zst_4529550,0.0621,0.056,0.0327,0.0592,0.0612,0.0604,0.0715,0.0791,0.0725,0.0673,0.0818,0.1686,0.0547,0.054,0.0565,0.056,0.0574,0.0591,0.0675,0.0575,0.0479
tencentBlock.ns7183.oracleGeneral.zst_2170354,0.1282,0.1563,0.0705,0.1569,0.1656,0.1669,0.1802,0.136,0.1614,0.1273,0.1502,0.1538,0.1407,0.1155,0.1719,0.1718,0.1343,0.1331,0.135,0.142,0.1179
tencentBlock.ns10512.oracleGeneral.zst_58001065,0.0577,0.0533,0.039,0.0546,0.056,0.0577,0.0789,0.0673,0.0539,0.0736,0.0592,0.1328,0.0553,0.057,0.0527,0.0542,0.0552,0.0529,0.0529,0.0612,0.0582
