,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.1053,0.0642,0.113,0.1119,0.1388,0.1208,0.1107,0.1197,0.0959,0.104,0.1057,0.0966,0.0953,0.1042,0.0946,0.0973,0.0962
cluster5.oracleGeneral.zst_10458446348,0.23,0.201,0.2352,0.2327,0.2387,0.2259,0.2172,0.2229,0.2252,0.2301,0.2312,0.2238,0.2168,0.2223,0.2149,0.2178,0.2208
cluster4.oracleGeneral.zst_3448082328,0.0796,0.051,0.0798,0.0779,0.0903,0.0805,0.0738,0.0798,0.073,0.0787,0.0757,0.0718,0.0692,0.0732,0.07,0.0799,0.0709
cluster50.oracleGeneral.zst_139655585,0.5473,0.3386,0.5487,0.5651,0.5963,0.5534,0.5563,0.5711,0.5305,0.5269,0.5392,0.5305,0.5307,0.556,0.5476,0.5642,0.5335
cluster27.oracleGeneral.zst_12060815269,0.6232,0.5159,0.6221,0.6266,0.6442,0.6227,0.6128,0.6228,0.6163,0.6241,0.6233,0.6119,0.6067,0.6087,0.6093,0.6667,0.6105
cluster21.oracleGeneral.zst_1550193320,0.9412,0.9375,0.941,0.9428,0.944,0.9424,0.9417,0.9421,0.9423,0.9432,0.943,0.9408,0.9409,0.941,0.9422,0.9501,0.9409
cluster11.oracleGeneral.zst_2731402190,0.3593,0.2583,0.3603,0.3757,0.4117,0.3717,0.3457,0.3645,0.3388,0.3553,0.3595,0.3386,0.3335,0.3486,0.3374,0.3551,0.3368
cluster26.oracleGeneral.zst_156594627,0.079,0.0781,0.0796,0.0789,0.0799,0.0828,0.0793,0.0794,0.0782,0.0879,0.079,0.0784,0.0784,0.0792,0.0784,0.2339,0.079
cluster16.oracleGeneral.zst_10791885322,0.1301,0.0801,0.1423,0.1352,0.1645,0.139,0.1502,0.1458,0.1196,0.1264,0.123,0.1206,0.12,0.1249,0.1218,0.1419,0.1219
cluster23.oracleGeneral.zst_5333543178,0.2713,0.2703,,0.2715,0.2716,0.2721,0.2712,0.2714,0.2709,0.2782,0.2714,0.2717,0.2714,0.2713,0.2712,0.2848,0.2716
