,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.0612,0.0366,0.0604,0.0665,0.0643,0.0813,0.0697,0.0586,0.0834,0.0674,0.3223,0.0551,0.0598,0.0642,0.0605,0.0561,0.0555,0.0605,0.0553,0.0537,0.0546
cluster5.oracleGeneral.zst_10458446348,0.2174,0.1984,0.22,0.2207,0.2193,0.2242,0.2137,0.2086,0.2156,0.2116,0.6434,0.2141,0.2175,0.2173,0.2183,0.2127,0.2074,0.2107,0.2106,0.2115,0.21
cluster4.oracleGeneral.zst_3448082328,0.0587,0.039,0.058,0.0588,0.0575,0.0649,0.0588,0.0534,0.0642,0.0578,0.3733,0.059,0.058,0.0566,0.0562,0.0534,0.0511,0.0544,0.0522,0.0575,0.0524
cluster50.oracleGeneral.zst_139655585,0.3707,0.2022,0.3732,0.3672,0.3796,0.4027,0.3975,0.408,0.4834,0.4012,0.8132,0.3592,0.3681,0.3667,0.3736,0.3687,0.37,0.4034,0.3771,0.4063,0.3794
cluster27.oracleGeneral.zst_12060815269,0.5768,0.4013,0.5753,0.5858,0.5946,0.6067,0.5861,0.5781,0.5897,0.5848,0.7716,0.5849,0.5669,0.5971,0.5964,0.5672,0.5418,0.5672,0.5517,0.5846,0.5628
cluster21.oracleGeneral.zst_1550193320,0.9404,0.9375,0.9404,0.9405,0.9418,0.9425,0.9411,0.9409,0.9412,0.9412,0.9405,0.9415,0.9425,0.942,0.9419,0.9404,0.9406,0.9406,0.9415,0.9471,0.9403
cluster11.oracleGeneral.zst_2731402190,0.2743,0.1722,0.271,0.2854,0.2937,0.3259,0.2909,0.2541,0.3079,0.2801,0.5066,0.2476,0.2654,0.2972,0.2773,0.258,0.2497,0.267,0.2508,0.2463,0.2574
cluster26.oracleGeneral.zst_156594627,0.0782,0.0781,0.0782,0.0782,0.0782,0.0788,0.0801,0.0786,0.0786,0.079,0.863,0.0782,0.0783,0.0782,0.0782,0.0782,0.0782,0.0782,0.0782,0.2218,0.0782
cluster16.oracleGeneral.zst_10791885322,0.0814,0.054,0.0816,0.0851,0.0834,0.1009,0.0873,0.1029,0.148,0.1001,0.7183,0.0779,0.0794,0.0844,0.0791,0.0778,0.0787,0.0795,0.081,0.0927,0.0799
cluster23.oracleGeneral.zst_5333543178,0.2711,0.2703,0.2713,,0.2712,0.2712,0.2713,0.271,0.2721,0.2711,0.6862,0.2709,0.2734,0.2711,0.2711,0.2712,0.271,0.271,0.2711,0.2744,0.2711
cluster28.oracleGeneral.zst_5267932037,0.0264,0.0166,0.0263,0.0264,0.0254,0.0278,0.0252,0.0237,0.0273,0.0251,0.1964,0.0268,0.0259,0.0254,0.0247,0.0238,0.0236,0.0244,0.0237,0.0285,0.0235
cluster48.oracleGeneral.zst_1129939853,0.4229,0.3139,0.42,0.4381,0.4307,0.4657,0.4304,0.4209,0.5397,0.4372,0.829,0.4405,0.424,0.4346,0.4235,0.4131,0.4256,0.4188,0.4369,0.4804,0.4139
