,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.0021,0.0012,0.0021,0.0022,0.0038,0.0025,0.0017,0.0019,0.0024,0.0021,0.0021,0.0019,0.0018,0.002,0.0023,0.0018,0.0017
cluster5.oracleGeneral.zst_10458446348,0.1995,,0.2003,0.201,0.2024,,,0.1992,,0.1995,0.1997,,,0.199,0.2015,0.2016,0.199
cluster4.oracleGeneral.zst_3448082328,0.0329,0.0309,0.0328,0.0333,0.0352,0.0331,0.0326,0.033,0.0339,0.0334,0.0328,0.0332,0.0325,0.0328,0.0345,0.0346,0.033
cluster50.oracleGeneral.zst_139655585,0.0583,0.0283,0.0562,0.0589,0.0751,0.0577,0.0451,0.0533,0.0531,0.056,0.0544,0.0493,0.048,0.0519,0.057,0.0482,0.0473
cluster27.oracleGeneral.zst_12060815269,0.1196,0.0695,0.12,0.1224,0.1679,0.1313,0.1057,0.1186,0.1189,0.1124,0.1115,0.1077,0.1069,0.1104,0.1292,0.1059,0.1079
cluster21.oracleGeneral.zst_1550193320,0.9378,0.9375,0.9382,0.9378,0.9388,0.9378,0.9378,0.9379,0.938,0.9378,0.938,0.9378,0.938,0.9378,0.9387,0.9382,0.9377
cluster11.oracleGeneral.zst_2731402190,0.0183,0.013,0.019,0.0191,0.0278,0.0213,0.0173,0.0183,0.0178,0.0184,0.0185,0.0176,0.0176,0.0183,0.0187,0.0161,0.0172
cluster26.oracleGeneral.zst_156594627,0.0781,0.0781,0.0781,0.0781,0.0781,0.0782,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0783,0.0781
cluster16.oracleGeneral.zst_10791885322,0.0075,0.0034,0.0074,0.0078,0.0127,0.0108,0.0074,0.0112,0.008,0.0071,0.0077,0.007,0.007,0.0073,0.0084,0.0067,0.007
cluster23.oracleGeneral.zst_5333543178,0.2708,0.2703,,0.2708,0.2708,0.2707,0.2708,0.2707,0.2707,0.2709,0.271,0.2709,0.2708,0.2708,0.2708,0.2711,0.2708
cluster28.oracleGeneral.zst_5267932037,0.012,0.0118,0.0122,0.0123,0.0138,0.0134,0.0124,0.0132,0.0132,0.0121,0.012,0.0121,0.0124,0.0122,0.0131,0.013,0.0122
cluster48.oracleGeneral.zst_1129939853,0.2306,0.1975,0.246,0.2374,0.2564,0.2401,0.2346,0.2423,0.271,0.2338,0.2332,0.2317,0.2337,0.2359,0.2472,0.2624,0.2324
cluster41.oracleGeneral.zst_3214344864,0.0792,0.0783,0.0792,0.0797,0.0802,0.0795,0.079,0.0791,0.0796,0.0792,0.0792,0.0794,0.079,0.079,0.08,0.0947,0.079
cluster51.oracleGeneral.zst_6322932555,0.0009,0.0008,0.0009,0.0009,0.0011,0.0011,0.001,0.0012,0.0011,0.0009,0.0009,0.0009,0.0009,0.0008,0.001,0.0009,0.0009
cluster7.oracleGeneral.zst_1044513075,0.0579,0.0197,0.045,0.0535,0.0542,0.0509,0.0469,0.0517,0.0438,0.0578,0.0561,0.0525,0.0508,0.0559,0.0542,0.043,0.0482
cluster3.oracleGeneral.zst_820307312,0.0086,0.0076,0.0092,0.0088,0.0096,0.0093,0.009,0.0094,0.0089,0.0087,0.0087,0.0087,0.0086,0.0086,0.0093,0.0109,0.0089
cluster46.oracleGeneral.zst_6610320613,0.1793,0.1752,0.1793,0.1812,0.1829,0.1793,0.1788,0.1792,0.1805,0.1793,0.1796,0.1801,0.1802,0.1788,0.1819,0.1822,0.1786
cluster30.oracleGeneral.zst_2554900851,0.0051,0.0051,0.0051,0.0051,0.0051,0.0054,0.0052,0.0054,0.0053,0.0051,0.0051,0.0051,0.0061,0.0051,0.0051,0.0075,0.0051
cluster17.oracleGeneral.zst_9772999471,0.0013,0.0009,0.0013,0.0013,0.002,0.0014,0.0012,0.0012,0.0016,0.0012,0.0012,0.0012,0.0012,0.0012,0.0013,0.0012,0.0012
cluster20.oracleGeneral.zst_3663259123,0.0247,0.0245,,0.0251,0.0299,0.0257,0.0249,0.025,0.0268,0.0248,0.025,0.0247,0.0251,0.0248,0.028,0.0257,0.0247
cluster14.oracleGeneral.zst_3029143401,0.0245,0.0229,0.0253,0.0247,0.0261,0.0247,0.0243,0.0248,0.0252,0.0246,0.0245,0.0245,0.0244,0.0242,0.0256,0.0292,0.0244
cluster52.oracleGeneral.zst_13426570607,0.026,0.0188,0.0256,0.0267,0.0303,0.0266,0.0251,0.0261,0.0281,0.0258,0.0257,0.0253,0.0245,0.0253,0.0272,0.0253,0.025
cluster6.oracleGeneral.zst_8376428572,0.0026,0.0025,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0032,0.0026
cluster19.oracleGeneral.zst_2006896318,0.1765,0.1637,0.1763,0.1792,0.1854,0.1777,0.1753,0.1772,0.1763,0.177,0.1782,0.1779,0.1772,0.1752,0.1828,0.211,0.1755
cluster34.oracleGeneral.zst_2147047915,0.0892,0.0318,0.0891,0.0879,0.1248,0.0856,0.0672,0.082,0.0742,0.0779,0.0816,0.0753,0.0719,0.0768,0.0902,0.0618,0.0729
cluster38.oracleGeneral.zst_1342423951,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,,0.9383,,0.9383,0.9383,0.9383,0.9383,0.9383
cluster39.oracleGeneral.zst_1329229014,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster24.oracleGeneral.zst_3289457233,0.0057,0.004,0.0057,0.0059,0.0072,0.006,0.0054,0.0057,0.0062,0.0056,0.0057,0.0055,0.0054,0.0055,0.006,0.0053,0.0054
cluster45.oracleGeneral.zst_227773739,0.3174,0.2876,0.3319,0.3217,0.3297,0.3194,0.3195,0.3212,0.3338,0.3185,0.3205,0.3182,0.3191,0.319,0.327,0.3186,0.3174
cluster44.oracleGeneral.zst_5702089313,0.013,0.0102,0.0129,0.0135,0.0157,0.0141,0.0131,0.0138,0.0145,0.0131,0.013,0.0129,0.0126,0.0129,0.0144,0.0142,0.0131
cluster22.oracleGeneral.zst_2030691718,0.211,0.1988,0.2152,0.2127,0.222,0.2117,0.2093,0.2111,0.2103,0.2131,0.2106,0.2121,0.2092,0.2112,0.2183,0.212,0.2118
cluster42.oracleGeneral.zst_3904264364,0.0035,0.0034,0.0036,0.0035,0.0036,0.0037,0.0036,0.0036,0.0036,0.0035,0.0035,0.0035,0.0036,0.0035,0.0036,0.0045,0.0036
cluster43.oracleGeneral.zst_9038233795,0.0489,0.0479,0.0496,0.0495,0.0503,0.0489,0.0486,0.0488,0.0499,0.0489,0.0489,0.0491,0.0486,0.0486,0.0499,0.0567,0.0486
cluster9.oracleGeneral.zst_10646675648,0.0018,0.0014,0.0018,0.0018,0.0023,0.0019,0.0017,0.0017,0.0022,0.0017,0.0017,0.0017,0.0017,0.0017,0.002,0.0018,0.0017
cluster8.oracleGeneral.zst_1302137879,0.0223,0.0084,0.0273,0.0237,0.0509,0.0311,0.0373,0.0271,0.0223,0.0224,0.0228,0.0215,0.0216,0.0218,0.0272,0.0323,0.0227
cluster54.oracleGeneral.zst_11866133317,0.0123,0.0064,0.0137,0.0125,0.0171,0.0126,0.0103,0.0114,0.0127,0.0119,0.012,0.011,0.0108,0.0114,0.0125,0.0105,0.0105
cluster36.oracleGeneral.zst_5781263748,0.0171,0.0123,0.0192,0.0179,0.0213,0.0175,0.016,0.0171,0.0188,0.0169,0.0169,0.0165,0.0162,0.0168,0.0184,0.0167,0.016
cluster10.oracleGeneral.zst_139150615,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999
cluster35.oracleGeneral.zst_1828228908,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
cluster49.oracleGeneral.zst_799295267,0.0312,0.013,0.0304,0.0298,0.0422,0.0358,0.0422,0.0453,0.0283,0.0289,0.0288,0.0304,0.0309,0.0315,0.0336,0.0315,0.0318
cluster37.oracleGeneral.zst_3168270709,0.2205,0.22,0.2207,0.2206,0.2213,0.2205,0.2204,0.2204,0.2206,0.2205,0.2205,0.2205,0.2204,0.2204,0.2211,0.2223,0.2204
cluster31.oracleGeneral.zst_1341176720,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster47.oracleGeneral.zst_6225239439,0.0008,0.0008,0.0009,0.0009,0.0009,0.0009,0.001,0.0011,0.0009,0.0008,0.0008,0.0009,0.0009,0.0008,0.0009,0.001,0.0009
cluster2.oracleGeneral.zst_7226679214,0.001,0.0006,0.001,0.001,0.0013,0.001,0.0009,0.0009,0.0012,0.001,0.001,0.0009,0.0009,0.001,0.001,0.0009,0.0009
cluster33.oracleGeneral.zst_6705048996,0.0029,0.0028,0.0029,0.0029,0.0031,0.0033,0.0032,0.0038,0.0032,0.0029,0.0029,0.0029,0.003,0.0029,0.003,0.0048,0.003
cluster13.oracleGeneral.zst_825381985,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279
cluster29.oracleGeneral.zst_6920247859,0.0381,0.0365,0.038,0.0385,0.0415,0.0389,0.0381,0.0386,0.0395,0.0381,0.0379,0.038,0.0384,0.038,0.0403,0.0399,0.038
cluster40.oracleGeneral.zst_3847885075,0.0792,0.0784,0.0798,0.0797,0.0802,0.0795,0.079,0.0792,0.0798,0.0792,0.0793,0.0795,0.0791,0.0791,0.0801,0.0919,0.079
cluster53.oracleGeneral.zst_246508262,0.0321,0.0295,0.0321,0.0331,0.0371,0.0329,0.0317,0.0328,0.0334,0.0325,0.0323,0.0325,0.0315,0.0317,0.0352,0.0368,0.0319
cluster1.oracleGeneral.zst_6461081324,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
